0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_HLL_Stats_median (T1)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Wavelet_LLH_NGLDM_LGLDE (T2)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'GLCM_average (T2)'""]","[""'Stats_median (T1)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'Wavelet_LLH_GLCM_autocorr (T2)'""]","[""'Wavelet_LLH_IH_skewness (T1)'""]","[""'Stats_qcod (T2)'""]","[""'Wavelet_LHL_IH_maxGradI (T1)'""]","[""'GLCM_clusShade (T1)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_HLL_Stats_cov (T2)'""]"
"[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'GLCM_average (T2)'""]","[""'IH_maxGradI (T2)'""]","[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'Stats_qcod (T2)'""]","[""'Wavelet_HLL_Stats_median (T1)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]","[""'GLRLM_LGRE (T1)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Wavelet_LHH_GLSZM_ZE (T2)'""]","[""'Wavelet_LLL_IH_maxGradI (T1)'""]","[""'Wavelet_LHL_Stats_qcod (T1)'""]"
"[""'Wavelet_LLH_GLCM_autocorr (T2)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Stats_median (T1)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LLL_IH_maxGradI (T1)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'GLCM_clusShade (T2)'""]","[""'Wavelet_LLH_Stats_cov (T1)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'Wavelet_LLL_GLDZM_HISDE (T1)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]"
"[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'GLCM_average (T2)'""]","[""'Wavelet_LLH_Stats_cov (T1)'""]","[""'Wavelet_HLL_Stats_median (T1)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_LLH_GLCM_autocorr (T2)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Stats_median (T1)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_LLL_IH_maxGradI (T1)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]","[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LHL_IH_maxGradI (T1)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]"
"[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'Wavelet_LLH_Stats_cov (T1)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_LLL_GLDZM_HISDE (T1)'""]","[""'GLCM_clusShade (T2)'""]","[""'Wavelet_LLL_IH_maxGradI (T1)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]","[""'Wavelet_LLH_IH_skewness (T1)'""]","[""'GLCM_average (T2)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Stats_rms (T2)'""]"
"[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'GLCM_average (T2)'""]","[""'Stats_median (T1)'""]","[""'Wavelet_LHL_IH_maxGradI (T1)'""]","[""'Wavelet_HLH_GLCM_correl1 (T2)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'GLDZM_HILDE (T1)'""]","[""'Wavelet_LLH_Fractal_lacunarity (T2)'""]","[""'GLRLM_LRHGE (T1)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]"
"[""'GLCM_clusShade (T1)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_LLH_Stats_cov (T1)'""]","[""'Wavelet_LLL_GLDZM_HISDE (T1)'""]","[""'Stats_median (T1)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_LLH_GLCM_autocorr (T2)'""]","[""'Wavelet_HLH_GLCM_correl1 (T2)'""]","[""'GLCM_average (T2)'""]","[""'Wavelet_LLH_NGLDM_LGLDE (T2)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Wavelet_LHL_Stats_qcod (T1)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_LLH_IH_skewness (T1)'""]"
"[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'Stats_rms (T2)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_LLH_NGLDM_LGLDE (T2)'""]","[""'Wavelet_LHL_Stats_qcod (T1)'""]","[""'GLCM_average (T2)'""]","[""'Wavelet_HLL_Stats_median (T1)'""]","[""'Wavelet_LLL_Fractal_sd (T1)'""]","[""'Stats_median (T1)'""]","[""'Wavelet_LLH_IH_skewness (T1)'""]","[""'Wavelet_LHL_IH_maxGradI (T1)'""]","[""'Wavelet_HLL_Stats_mean (T1)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]"
"[""'GLCM_clusShade (T1)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'GLCM_average (T2)'""]","[""'GLRLM_LRHGE (T1)'""]","[""'Wavelet_LLL_NGLDM_HGLDE (T1)'""]","[""'Wavelet_LLL_IH_maxGradI (T1)'""]","[""'Wavelet_LLL_Stats_p10 (T2)'""]","[""'Wavelet_LLH_Stats_qcod (T1)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Stats_median (T1)'""]","[""'GLCM_clusShade (T2)'""]","[""'Wavelet_LLL_GLDZM_HISDE (T1)'""]"
"[""'GLCM_clusShade (T1)'""]","[""'GLRLM_LRHGE (T1)'""]","[""'Wavelet_LHH_Fractal_lacunarity (T2)'""]","[""'GLCM_average (T2)'""]","[""'Wavelet_LHL_Stats_qcod (T1)'""]","[""'Wavelet_LHL_Stats_median (T1)'""]","[""'Wavelet_LHL_IH_maxGradI (T1)'""]","[""'Wavelet_LLH_Stats_median (T1)'""]","[""'GLRLM_LGRE (T1)'""]","[""'IH_maxGradI (T2)'""]","[""'Wavelet_HLL_GLCM_correl1 (T2)'""]","[""'Wavelet_HLL_GLCM_sumEntro (T2)'""]","[""'Wavelet_LHL_Fractal_sd (T2)'""]","[""'Wavelet_LLH_Fractal_lacunarity (T2)'""]","[""'Stats_qcod (T2)'""]"
